Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,12860.17764,14705.69242,15431.90293,15941.39722,14794.31583,13736.63569,13960.89421,15346.4497,
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,4560.512586,5633.795717,6337.883323,7077.770765,7683.502613,8069.213024,8117.267465,8826.994096,
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1219.749096,1214.703946,1250.808924,1423.682282,1568.627628,1715.105518,1493.506061,1537.504031,
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1309.122208,1429.647553,1380.509848,1493.746567,1571.182535,1353.92449,1391.751883,1451.865747,
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,334.2317025,387.3235796,424.8593185,458.2384062,487.0814869,497.6297557,471.6359456,462.7795441,
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2737.34233,3196.647524,2952.052348,2964.572989,2910.520226,1712.121146,1762.809913,1654.010322,
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6230.738366,7207.028905,7904.495789,8065.960376,7974.406373,6085.209979,5813.694519,6408.920012,
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1315.214806,1446.068018,1403.434335,1504.931007,1511.826037,1271.057042,1287.406402,1312.333925,
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3312.825985,3670.429453,3408.482762,3557.870977,3532.993527,2996.362046,3082.157104,3244.409561,
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,8199.414621,9186.59639,9985.36959,10569.66631,10630.9979,11393.02842,11767.50425,11677.26904,
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,9059.000053,9724.12451,9978.387147,10020.57332,10121.31048,9835.190116,9339.012783,9448.224139,
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,5676.141403,6075.924306,6425.941119,6760.15344,7050.493249,7602.278668,7961.84588,8433.092699,
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,30818.46396,32233.83942,28984.91481,27942.31667,27400.80299,23212.2247,23666.97357,25233.57098,
